id,part_id,policy_id,request_datetimes,request_detail,status_code,cr_by,cr_dtimes,upd_by,upd_dtimes
mpartner_policy_auth_req,mpartner-default-auth,mpolicy-default-auth,now(),mpolicy-default-auth,approved,admin,now(),admin,now()
mpartner_policy_abis_req,mpartner-default-abis,mpolicy-default-abis,now(),mpolicy-default-abis,approved,admin,now(),admin,now()
mpartner_policy_qrcode_req,mpartner-default-print,mpolicy-default-qrcode,now(),mpolicy-default-qrcode,approved,admin,now(),admin,now()
mpartner_policy_euin_req,mpartner-default-print,mpolicy-default-euin,now(),mpolicy-default-euin,approved,admin,now(),admin,now()
mpartner_policy_reprint_req,mpartner-default-print,mpolicy-default-reprint,now(),mpolicy-default-reprint,approved,admin,now(),admin,now()
mpartner_policy_resident_req,mpartner-default-resident,mpolicy-default-resident,now(),mpolicy-default-resident,approved,admin,now(),admin,now()
mpartner_policy_ajudica_req,mpartner-default-adjudication,mpolicy-default-adjudication,now(),mpolicy-default-adjudication,approved,admin,now(),admin,now()
mpartner_policy_cert_req,mpartner-default-cert,mpolicy-default-cert,now(),mpolicy-default-cert,approved,admin,now(),admin,now()
mpartner_policy_eUIN_with_QR_req,mpartner-default-print,mpolicy-default-eUIN_with_QR,now(),mpolicy-default-eUIN_with_QR,approved,admin,now(),admin,now()
mpartner_policy_eUIN_with_faceQR_req,mpartner-default-print,mpolicy-default-eUIN_with_faceQR,now(),mpolicy-default-eUIN_with_faceQR,approved,admin,now(),admin,now()
mpartner_policy_PDFCard_req,mpartner-default-digitalcard,mpolicy-default-PDFCard,now(),mpolicy-default-PDFCard,Approved,admin,now(),admin,now()
mpartner_policy_digitalcard_req,mpartner-default-digitalcard,mpolicy-default-digitalcard,now(),mpolicy-default-digitalcard,Approved,admin,now(),admin,now()
mpartner_policy_mobile_req,mpartner-default-mobile,mpolicy-default-mobile,now(),mpolicy-default-mobile,approved,admin,now(),admin,now()
